Team,Accuracy,F1-Score
nassar24,64.77,64.31
A7MEDRAGAB82,2.84,2.9
AhmetEbrahem,3.19,2.81
ahmedbenbellaa,3.28,2.71
habiba87720,,
AdhamHesham07,,
